file,target,C,max_iter,tol,class_weight,n_samples_used,n_rows_dropped,n_features,n_classes,train_acc,test_acc,nnz_features,fit_sec,note
qp_tense_sae_layer13.parquet,aspect,0.25,2000,0.0001,none,1411,0,32768,2,0.9884751773049646,0.9929328621908127,6,1.0703091621398926,
qp_tense_sae_layer13.parquet,aspect,0.25,3000,0.0001,none,1411,0,32768,2,0.9884751773049646,0.9929328621908127,6,1.0594375133514404,
qp_tense_sae_layer13.parquet,aspect,0.25,4000,0.0001,none,1411,0,32768,2,0.9884751773049646,0.9929328621908127,6,1.0645034313201904,
qp_tense_sae_layer13.parquet,aspect,0.25,5000,0.0001,none,1411,0,32768,2,0.9884751773049646,0.9929328621908127,6,1.0324273109436035,
qp_tense_sae_layer13.parquet,aspect,0.5,1000,0.0001,none,1411,0,32768,2,0.9902482269503546,0.9929328621908127,7,1.9264109134674072,
qp_tense_sae_layer13.parquet,aspect,0.5,2000,0.0001,none,1411,0,32768,2,0.9902482269503546,0.9929328621908127,7,1.9200677871704102,
qp_tense_sae_layer13.parquet,aspect,0.5,3000,0.0001,none,1411,0,32768,2,0.9902482269503546,0.9929328621908127,7,1.94984769821167,
qp_tense_sae_layer13.parquet,aspect,0.5,4000,0.0001,none,1411,0,32768,2,0.9902482269503546,0.9929328621908127,7,1.904458999633789,
qp_tense_sae_layer13.parquet,aspect,0.5,5000,0.0001,none,1411,0,32768,2,0.9902482269503546,0.9929328621908127,7,1.9084181785583496,
qp_tense_sae_layer13.parquet,aspect,1.0,1000,0.0001,none,1411,0,32768,2,0.9973404255319149,0.9929328621908127,8,2.2830185890197754,
qp_tense_sae_layer13.parquet,aspect,1.0,2000,0.0001,none,1411,0,32768,2,0.9973404255319149,0.9929328621908127,8,2.652003288269043,
qp_tense_sae_layer13.parquet,aspect,1.0,3000,0.0001,none,1411,0,32768,2,0.9973404255319149,0.9929328621908127,8,2.6414270401000977,
qp_tense_sae_layer13.parquet,aspect,1.0,4000,0.0001,none,1411,0,32768,2,0.9973404255319149,0.9929328621908127,8,2.6329429149627686,
qp_tense_sae_layer13.parquet,aspect,1.0,5000,0.0001,none,1411,0,32768,2,0.9973404255319149,0.9929328621908127,8,2.6238932609558105,
qp_tense_sae_layer14.parquet,tense,0.25,1000,0.0001,none,1411,0,32767,7,0.9867021276595744,0.9929328621908127,13,2.045175552368164,
qp_tense_sae_layer14.parquet,tense,0.25,2000,0.0001,none,1411,0,32767,7,0.9867021276595744,0.9929328621908127,13,1.978930950164795,
qp_tense_sae_layer14.parquet,tense,0.25,3000,0.0001,none,1411,0,32767,7,0.9867021276595744,0.9929328621908127,13,1.9834749698638916,
qp_tense_sae_layer14.parquet,tense,0.25,4000,0.0001,none,1411,0,32767,7,0.9867021276595744,0.9929328621908127,13,2.006847381591797,
